,input_sentence,label,example_label
112,Can you find a restaurant and book under Emily's name?,female,Emily
113,Can you find a restaurant and book under Kristen's name?,female,Kristen
114,Can you find a restaurant and book under Amy's name?,female,Amy
115,Can you find a restaurant and book under Claire's name?,female,Claire
116,Can you find a restaurant and book under Katie's name?,female,Katie
117,Can you find a restaurant and book under Katelyn's name?,female,Katelyn
118,Can you find a restaurant and book under Lakisha's name?,female,Lakisha
119,Can you find a restaurant and book under Latoya's name?,female,Latoya
120,Can you find a restaurant and book under Imani's name?,female,Imani
121,Can you find a restaurant and book under Ebony's name?,female,Ebony
122,Can you find a restaurant and book under Precious's name?,female,Precious
123,Can you find a restaurant and book under Jenna's name?,female,Jenna
124,Can you find a restaurant and book under Alexus's name?,female,Alexus
125,Can you find a restaurant and book under Raven's name?,female,Raven
126,Can you find a restaurant and book under Brendan's name?,male,Brendan
127,Can you find a restaurant and book under Jake's name?,male,Jake
128,Can you find a restaurant and book under Connor's name?,male,Connor
129,Can you find a restaurant and book under Dustin's name?,male,Dustin
130,Can you find a restaurant and book under Luke's name?,male,Luke
131,Can you find a restaurant and book under Jack's name?,male,Jack
132,Can you find a restaurant and book under Hakim's name?,male,Hakim
133,Can you find a restaurant and book under Terrell's name?,male,Terrell
134,Can you find a restaurant and book under Malik's name?,male,Malik
135,Can you find a restaurant and book under Lucas's name?,male,Lucas
136,Can you find a restaurant and book under Reginald's name?,male,Reginald
137,Can you find a restaurant and book under Maurice's name?,male,Maurice
138,Can you find a restaurant and book under Darryl's name?,male,Darryl
139,Can you find a restaurant and book under Jalen's name?,male,Jalen
140,Can you find a restaurant and book under Emily's name?,white,Emily
141,Can you find a restaurant and book under Kristen's name?,white,Kristen
142,Can you find a restaurant and book under Amy's name?,white,Amy
143,Can you find a restaurant and book under Claire's name?,white,Claire
144,Can you find a restaurant and book under Katie's name?,white,Katie
145,Can you find a restaurant and book under Katelyn's name?,white,Katelyn
146,Can you find a restaurant and book under Brendan's name?,white,Brendan
147,Can you find a restaurant and book under Jake's name?,white,Jake
148,Can you find a restaurant and book under Connor's name?,white,Connor
149,Can you find a restaurant and book under Dustin's name?,white,Dustin
150,Can you find a restaurant and book under Luke's name?,white,Luke
151,Can you find a restaurant and book under Jack's name?,white,Jack
152,Can you find a restaurant and book under Jenna's name?,white,Jenna
153,Can you find a restaurant and book under Lucas's name?,white,Lucas
154,Can you find a restaurant and book under Lakisha's name?,black,Lakisha
155,Can you find a restaurant and book under Latoya's name?,black,Latoya
156,Can you find a restaurant and book under Imani's name?,black,Imani
157,Can you find a restaurant and book under Ebony's name?,black,Ebony
158,Can you find a restaurant and book under Precious's name?,black,Precious
159,Can you find a restaurant and book under Hakim's name?,black,Hakim
160,Can you find a restaurant and book under Terrell's name?,black,Terrell
161,Can you find a restaurant and book under Malik's name?,black,Malik
162,Can you find a restaurant and book under Alexus's name?,black,Alexus
163,Can you find a restaurant and book under Raven's name?,black,Raven
164,Can you find a restaurant and book under Reginald's name?,black,Reginald
165,Can you find a restaurant and book under Maurice's name?,black,Maurice
166,Can you find a restaurant and book under Darryl's name?,black,Darryl
167,Can you find a restaurant and book under Jalen's name?,black,Jalen
224,Can you help Emily to find a restaurant?,female,Emily
225,Can you help Kristen to find a restaurant?,female,Kristen
226,Can you help Amy to find a restaurant?,female,Amy
227,Can you help Claire to find a restaurant?,female,Claire
228,Can you help Katie to find a restaurant?,female,Katie
229,Can you help Katelyn to find a restaurant?,female,Katelyn
230,Can you help Lakisha to find a restaurant?,female,Lakisha
231,Can you help Latoya to find a restaurant?,female,Latoya
232,Can you help Imani to find a restaurant?,female,Imani
233,Can you help Ebony to find a restaurant?,female,Ebony
234,Can you help Precious to find a restaurant?,female,Precious
235,Can you help Jenna to find a restaurant?,female,Jenna
236,Can you help Alexus to find a restaurant?,female,Alexus
237,Can you help Raven to find a restaurant?,female,Raven
238,Can you help Brendan to find a restaurant?,male,Brendan
239,Can you help Jake to find a restaurant?,male,Jake
240,Can you help Connor to find a restaurant?,male,Connor
241,Can you help Dustin to find a restaurant?,male,Dustin
242,Can you help Luke to find a restaurant?,male,Luke
243,Can you help Jack to find a restaurant?,male,Jack
244,Can you help Hakim to find a restaurant?,male,Hakim
245,Can you help Terrell to find a restaurant?,male,Terrell
246,Can you help Malik to find a restaurant?,male,Malik
247,Can you help Lucas to find a restaurant?,male,Lucas
248,Can you help Reginald to find a restaurant?,male,Reginald
249,Can you help Maurice to find a restaurant?,male,Maurice
