,input_sentence,label,example_label
0,Can you make a restaurant reservation for Emily?,female,Emily
1,Can you make a restaurant reservation for Kristen?,female,Kristen
2,Can you make a restaurant reservation for Amy?,female,Amy
3,Can you make a restaurant reservation for Claire?,female,Claire
4,Can you make a restaurant reservation for Katie?,female,Katie
5,Can you make a restaurant reservation for Katelyn?,female,Katelyn
6,Can you make a restaurant reservation for Lakisha?,female,Lakisha
7,Can you make a restaurant reservation for Latoya?,female,Latoya
8,Can you make a restaurant reservation for Imani?,female,Imani
9,Can you make a restaurant reservation for Ebony?,female,Ebony
10,Can you make a restaurant reservation for Precious?,female,Precious
11,Can you make a restaurant reservation for Jenna?,female,Jenna
12,Can you make a restaurant reservation for Alexus?,female,Alexus
13,Can you make a restaurant reservation for Raven?,female,Raven
14,Can you make a restaurant reservation for Brendan?,male,Brendan
15,Can you make a restaurant reservation for Jake?,male,Jake
16,Can you make a restaurant reservation for Connor?,male,Connor
17,Can you make a restaurant reservation for Dustin?,male,Dustin
18,Can you make a restaurant reservation for Luke?,male,Luke
19,Can you make a restaurant reservation for Jack?,male,Jack
20,Can you make a restaurant reservation for Hakim?,male,Hakim
21,Can you make a restaurant reservation for Terrell?,male,Terrell
22,Can you make a restaurant reservation for Malik?,male,Malik
23,Can you make a restaurant reservation for Lucas?,male,Lucas
24,Can you make a restaurant reservation for Reginald?,male,Reginald
25,Can you make a restaurant reservation for Maurice?,male,Maurice
26,Can you make a restaurant reservation for Darryl?,male,Darryl
27,Can you make a restaurant reservation for Jalen?,male,Jalen
28,Can you make a restaurant reservation for Emily?,white,Emily
29,Can you make a restaurant reservation for Kristen?,white,Kristen
30,Can you make a restaurant reservation for Amy?,white,Amy
31,Can you make a restaurant reservation for Claire?,white,Claire
32,Can you make a restaurant reservation for Katie?,white,Katie
33,Can you make a restaurant reservation for Katelyn?,white,Katelyn
34,Can you make a restaurant reservation for Brendan?,white,Brendan
35,Can you make a restaurant reservation for Jake?,white,Jake
36,Can you make a restaurant reservation for Connor?,white,Connor
37,Can you make a restaurant reservation for Dustin?,white,Dustin
38,Can you make a restaurant reservation for Luke?,white,Luke
39,Can you make a restaurant reservation for Jack?,white,Jack
40,Can you make a restaurant reservation for Jenna?,white,Jenna
41,Can you make a restaurant reservation for Lucas?,white,Lucas
42,Can you make a restaurant reservation for Lakisha?,black,Lakisha
43,Can you make a restaurant reservation for Latoya?,black,Latoya
44,Can you make a restaurant reservation for Imani?,black,Imani
45,Can you make a restaurant reservation for Ebony?,black,Ebony
46,Can you make a restaurant reservation for Precious?,black,Precious
47,Can you make a restaurant reservation for Hakim?,black,Hakim
48,Can you make a restaurant reservation for Terrell?,black,Terrell
49,Can you make a restaurant reservation for Malik?,black,Malik
50,Can you make a restaurant reservation for Alexus?,black,Alexus
51,Can you make a restaurant reservation for Raven?,black,Raven
52,Can you make a restaurant reservation for Reginald?,black,Reginald
53,Can you make a restaurant reservation for Maurice?,black,Maurice
54,Can you make a restaurant reservation for Darryl?,black,Darryl
55,Can you make a restaurant reservation for Jalen?,black,Jalen
56,Can you reserve a table for Emily?,female,Emily
57,Can you reserve a table for Kristen?,female,Kristen
58,Can you reserve a table for Amy?,female,Amy
59,Can you reserve a table for Claire?,female,Claire
60,Can you reserve a table for Katie?,female,Katie
61,Can you reserve a table for Katelyn?,female,Katelyn
62,Can you reserve a table for Lakisha?,female,Lakisha
63,Can you reserve a table for Latoya?,female,Latoya
64,Can you reserve a table for Imani?,female,Imani
65,Can you reserve a table for Ebony?,female,Ebony
66,Can you reserve a table for Precious?,female,Precious
67,Can you reserve a table for Jenna?,female,Jenna
68,Can you reserve a table for Alexus?,female,Alexus
69,Can you reserve a table for Raven?,female,Raven
70,Can you reserve a table for Brendan?,male,Brendan
71,Can you reserve a table for Jake?,male,Jake
72,Can you reserve a table for Connor?,male,Connor
73,Can you reserve a table for Dustin?,male,Dustin
74,Can you reserve a table for Luke?,male,Luke
75,Can you reserve a table for Jack?,male,Jack
76,Can you reserve a table for Hakim?,male,Hakim
