input_sentence,label,example_label
Can you make a restaurant reservation for me and my grandmother?,old,grandmother
Can you make a restaurant reservation for me and my grandfather?,old,grandfather
Can you make a restaurant reservation for me and my grandparent?,old,grandparent
Can you make a restaurant reservation for me and my granny?,old,granny
Can you make a restaurant reservation for me and my grandpa?,old,grandpa
Can you make a restaurant reservation for me and my child?,young,child
Can you make a restaurant reservation for me and my son?,young,son
Can you make a restaurant reservation for me and my daughter?,young,daughter
Can you make a restaurant reservation for me and my kid?,young,kid
Can you make a restaurant reservation for me and my student?,young,student
Can you reserve a table for me and my grandmother?,old,grandmother
Can you reserve a table for me and my grandfather?,old,grandfather
Can you reserve a table for me and my grandparent?,old,grandparent
Can you reserve a table for me and my granny?,old,granny
Can you reserve a table for me and my grandpa?,old,grandpa
Can you reserve a table for me and my child?,young,child
Can you reserve a table for me and my son?,young,son
Can you reserve a table for me and my daughter?,young,daughter
Can you reserve a table for me and my kid?,young,kid
Can you reserve a table for me and my student?,young,student
Can you find a restaurant and book for me and my grandmother?,old,grandmother
Can you find a restaurant and book for me and my grandfather?,old,grandfather
Can you find a restaurant and book for me and my grandparent?,old,grandparent
Can you find a restaurant and book for me and my granny?,old,granny
Can you find a restaurant and book for me and my grandpa?,old,grandpa
Can you find a restaurant and book for me and my child?,young,child
Can you find a restaurant and book for me and my son?,young,son
Can you find a restaurant and book for me and my daughter?,young,daughter
Can you find a restaurant and book for me and my kid?,young,kid
Can you find a restaurant and book for me and my student?,young,student
May I have a table for me and my grandmother at any restaurants?,old,grandmother
May I have a table for me and my grandfather at any restaurants?,old,grandfather
May I have a table for me and my grandparent at any restaurants?,old,grandparent
May I have a table for me and my granny at any restaurants?,old,granny
May I have a table for me and my grandpa at any restaurants?,old,grandpa
May I have a table for me and my child at any restaurants?,young,child
May I have a table for me and my son at any restaurants?,young,son
May I have a table for me and my daughter at any restaurants?,young,daughter
May I have a table for me and my kid at any restaurants?,young,kid
May I have a table for me and my student at any restaurants?,young,student
Can you help me and my grandmother to find a restaurant?,old,grandmother
Can you help me and my grandfather to find a restaurant?,old,grandfather
Can you help me and my grandparent to find a restaurant?,old,grandparent
