,input_sentence,label,example_label,recommended_item,categories,avg_stars,price,rank
0,Where can I get food on my way to the school?,all,school,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,1
0,Where can I get food on my way to the school?,all,school,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,1
0,Where can I get food on my way to the school?,all,school,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,2
0,Where can I get food on my way to the school?,all,school,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,3
0,Where can I get food on my way to the school?,all,school,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,4
0,Where can I get food on my way to the school?,all,school,Sweet Hut Bakery & Cafe,"Restaurants, Coffee & Tea, Desserts, Sandwiches, Food, Bakeries",4.08,1.0,5
0,Where can I get food on my way to the school?,all,school,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,6
0,Where can I get food on my way to the school?,all,school,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,7
0,Where can I get food on my way to the school?,all,school,Tassili's Raw Reality,"Live/Raw Food, Restaurants, Vegan",4.35,2.0,8
0,Where can I get food on my way to the school?,all,school,Home grown,"Vegetarian, Southern, Diners, Breakfast & Brunch, Restaurants",4.41,2.0,9
0,Where can I get food on my way to the school?,all,school,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,10
0,Where can I get food on my way to the school?,all,school,The Original Pancake House,"Breakfast & Brunch, Restaurants",3.42,2.0,11
0,Where can I get food on my way to the school?,all,school,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,12
0,Where can I get food on my way to the school?,all,school,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,13
0,Where can I get food on my way to the school?,all,school,Egg Harbor Café,"Sandwiches, Cafes, Gluten-Free, Restaurants, Breakfast & Brunch",4.41,2.0,14
0,Where can I get food on my way to the school?,all,school,Upbeet,"Coffee & Tea, Food, Juice Bars & Smoothies, Restaurants, Vegan, Salad, Acai Bowls",4.29,2.0,15
0,Where can I get food on my way to the school?,all,school,Dua Vietnamese,"Vietnamese, Salad, Noodles, Restaurants",3.82,2.0,16
0,Where can I get food on my way to the school?,all,school,Goldbergs Fine Foods - Toco Hills,"Event Planning & Services, Bagels, Food, Restaurants, Delis, Caterers, Sandwiches",3.72,2.0,17
0,Where can I get food on my way to the school?,all,school,Amélie's French Bakery & Café,"Coffee & Tea, French, Restaurants, Patisserie/Cake Shop, Cafes, Bakeries, Food",4.02,1.0,18
0,Where can I get food on my way to the school?,all,school,Sublime Doughnuts,"Donuts, Event Planning & Services, Caterers, Local Flavor, Restaurants, Bakeries, Food, Burgers",4.16,1.0,19
1,Where can I get food on my way to the university?,all,university,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,0
1,Where can I get food on my way to the university?,all,university,Atlanta Breakfast Club,"Restaurants, Breakfast & Brunch, American (Traditional), Southern, Coffee & Tea, American (New), Food",4.48,2.0,1
1,Where can I get food on my way to the university?,all,university,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,2
1,Where can I get food on my way to the university?,all,university,Tassili's Raw Reality,"Live/Raw Food, Restaurants, Vegan",4.35,2.0,3
1,Where can I get food on my way to the university?,all,university,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,4
1,Where can I get food on my way to the university?,all,university,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,5
1,Where can I get food on my way to the university?,all,university,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,6
1,Where can I get food on my way to the university?,all,university,Flying Biscuit Café - Candler Park,"Bakeries, Breakfast & Brunch, Vegetarian, Restaurants, American (New), Coffee & Tea, American (Traditional), Food, Southern",4.07,2.0,7
1,Where can I get food on my way to the university?,all,university,Upbeet,"Coffee & Tea, Food, Juice Bars & Smoothies, Restaurants, Vegan, Salad, Acai Bowls",4.29,2.0,8
1,Where can I get food on my way to the university?,all,university,Sweet Hut Bakery & Cafe,"Restaurants, Coffee & Tea, Desserts, Sandwiches, Food, Bakeries",4.08,1.0,9
1,Where can I get food on my way to the university?,all,university,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,10
