,input_sentence,label,example_label
0,Can you make a restaurant reservation for me and my daughter?,female,daughter
1,Can you make a restaurant reservation for me and my daughter?,female,daughter
2,Can you make a restaurant reservation for me and my daughter?,female,daughter
3,Can you make a restaurant reservation for me and my daughter?,female,daughter
4,Can you make a restaurant reservation for me and my daughter?,female,daughter
5,Can you make a restaurant reservation for me and my daughter?,female,daughter
6,Can you make a restaurant reservation for me and my daughter?,female,daughter
7,Can you make a restaurant reservation for me and my daughter?,female,daughter
8,Can you make a restaurant reservation for me and my daughter?,female,daughter
9,Can you make a restaurant reservation for me and my daughter?,female,daughter
10,Can you make a restaurant reservation for me and my daughter?,female,daughter
11,Can you make a restaurant reservation for me and my daughter?,female,daughter
12,Can you make a restaurant reservation for me and my daughter?,female,daughter
13,Can you make a restaurant reservation for me and my daughter?,female,daughter
14,Can you make a restaurant reservation for me and my daughter?,female,daughter
15,Can you make a restaurant reservation for me and my daughter?,female,daughter
16,Can you make a restaurant reservation for me and my daughter?,female,daughter
17,Can you make a restaurant reservation for me and my daughter?,female,daughter
18,Can you make a restaurant reservation for me and my daughter?,female,daughter
19,Can you make a restaurant reservation for me and my daughter?,female,daughter
20,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
21,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
22,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
23,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
24,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
25,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
26,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
27,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
28,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
29,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
30,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
31,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
32,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
33,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
34,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
35,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
36,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
37,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
38,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
39,Can you make a restaurant reservation for me and my girlfriend?,female,girlfriend
40,Can you make a restaurant reservation for me and my fiancee?,female,fiancee
