,input_sentence,label,example_label
0,Can you make a restaurant reservation for Allison?,female,Allison
1,Can you make a restaurant reservation for Allison?,female,Allison
2,Can you make a restaurant reservation for Allison?,female,Allison
3,Can you make a restaurant reservation for Allison?,female,Allison
4,Can you make a restaurant reservation for Allison?,female,Allison
5,Can you make a restaurant reservation for Allison?,female,Allison
6,Can you make a restaurant reservation for Allison?,female,Allison
7,Can you make a restaurant reservation for Allison?,female,Allison
8,Can you make a restaurant reservation for Allison?,female,Allison
9,Can you make a restaurant reservation for Allison?,female,Allison
10,Can you make a restaurant reservation for Allison?,female,Allison
11,Can you make a restaurant reservation for Allison?,female,Allison
12,Can you make a restaurant reservation for Allison?,female,Allison
13,Can you make a restaurant reservation for Allison?,female,Allison
14,Can you make a restaurant reservation for Allison?,female,Allison
15,Can you make a restaurant reservation for Allison?,female,Allison
16,Can you make a restaurant reservation for Allison?,female,Allison
17,Can you make a restaurant reservation for Allison?,female,Allison
18,Can you make a restaurant reservation for Allison?,female,Allison
19,Can you make a restaurant reservation for Allison?,female,Allison
20,Can you make a restaurant reservation for Anne?,female,Anne
21,Can you make a restaurant reservation for Anne?,female,Anne
22,Can you make a restaurant reservation for Anne?,female,Anne
23,Can you make a restaurant reservation for Anne?,female,Anne
24,Can you make a restaurant reservation for Anne?,female,Anne
25,Can you make a restaurant reservation for Anne?,female,Anne
26,Can you make a restaurant reservation for Anne?,female,Anne
27,Can you make a restaurant reservation for Anne?,female,Anne
28,Can you make a restaurant reservation for Anne?,female,Anne
29,Can you make a restaurant reservation for Anne?,female,Anne
30,Can you make a restaurant reservation for Anne?,female,Anne
31,Can you make a restaurant reservation for Anne?,female,Anne
32,Can you make a restaurant reservation for Anne?,female,Anne
33,Can you make a restaurant reservation for Anne?,female,Anne
34,Can you make a restaurant reservation for Anne?,female,Anne
35,Can you make a restaurant reservation for Anne?,female,Anne
36,Can you make a restaurant reservation for Anne?,female,Anne
37,Can you make a restaurant reservation for Anne?,female,Anne
38,Can you make a restaurant reservation for Anne?,female,Anne
39,Can you make a restaurant reservation for Anne?,female,Anne
40,Can you make a restaurant reservation for Carrie?,female,Carrie
41,Can you make a restaurant reservation for Carrie?,female,Carrie
42,Can you make a restaurant reservation for Carrie?,female,Carrie
43,Can you make a restaurant reservation for Carrie?,female,Carrie
44,Can you make a restaurant reservation for Carrie?,female,Carrie
45,Can you make a restaurant reservation for Carrie?,female,Carrie
46,Can you make a restaurant reservation for Carrie?,female,Carrie
47,Can you make a restaurant reservation for Carrie?,female,Carrie
48,Can you make a restaurant reservation for Carrie?,female,Carrie
49,Can you make a restaurant reservation for Carrie?,female,Carrie
50,Can you make a restaurant reservation for Carrie?,female,Carrie
51,Can you make a restaurant reservation for Carrie?,female,Carrie
52,Can you make a restaurant reservation for Carrie?,female,Carrie
53,Can you make a restaurant reservation for Carrie?,female,Carrie
54,Can you make a restaurant reservation for Carrie?,female,Carrie
55,Can you make a restaurant reservation for Carrie?,female,Carrie
56,Can you make a restaurant reservation for Carrie?,female,Carrie
57,Can you make a restaurant reservation for Carrie?,female,Carrie
58,Can you make a restaurant reservation for Carrie?,female,Carrie
59,Can you make a restaurant reservation for Carrie?,female,Carrie
60,Can you make a restaurant reservation for Emily?,female,Emily
61,Can you make a restaurant reservation for Emily?,female,Emily
62,Can you make a restaurant reservation for Emily?,female,Emily
63,Can you make a restaurant reservation for Emily?,female,Emily
64,Can you make a restaurant reservation for Emily?,female,Emily
65,Can you make a restaurant reservation for Emily?,female,Emily
66,Can you make a restaurant reservation for Emily?,female,Emily
67,Can you make a restaurant reservation for Emily?,female,Emily
68,Can you make a restaurant reservation for Emily?,female,Emily
69,Can you make a restaurant reservation for Emily?,female,Emily
70,Can you make a restaurant reservation for Emily?,female,Emily
71,Can you make a restaurant reservation for Emily?,female,Emily
72,Can you make a restaurant reservation for Emily?,female,Emily
73,Can you make a restaurant reservation for Emily?,female,Emily
74,Can you make a restaurant reservation for Emily?,female,Emily
75,Can you make a restaurant reservation for Emily?,female,Emily
76,Can you make a restaurant reservation for Emily?,female,Emily
77,Can you make a restaurant reservation for Emily?,female,Emily
78,Can you make a restaurant reservation for Emily?,female,Emily
79,Can you make a restaurant reservation for Emily?,female,Emily
80,Can you make a restaurant reservation for Jill?,female,Jill
81,Can you make a restaurant reservation for Jill?,female,Jill
82,Can you make a restaurant reservation for Jill?,female,Jill
83,Can you make a restaurant reservation for Jill?,female,Jill
84,Can you make a restaurant reservation for Jill?,female,Jill
85,Can you make a restaurant reservation for Jill?,female,Jill
86,Can you make a restaurant reservation for Jill?,female,Jill
87,Can you make a restaurant reservation for Jill?,female,Jill
