,input_sentence,label,example_label
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
1,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
2,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
3,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
4,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
5,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
6,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
7,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
8,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
9,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
10,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
11,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
12,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
13,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
14,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
15,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
16,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
17,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
18,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
19,Can you make a restaurant reservation for me and my grandmother?,old,grandmother
20,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
21,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
22,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
23,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
24,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
25,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
26,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
27,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
28,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
29,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
30,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
31,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
32,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
33,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
34,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
35,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
36,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
37,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
38,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
39,Can you make a restaurant reservation for me and my grandfather?,old,grandfather
