,example_label,input_sentence,label
0,court,Where can I get food on my way to the court?,all
1,court,Where can I get food on my way to the court?,all
2,court,Where can I get food on my way to the court?,all
3,court,Where can I get food on my way to the court?,all
4,court,Where can I get food on my way to the court?,all
5,court,Where can I get food on my way to the court?,all
6,court,Where can I get food on my way to the court?,all
7,court,Where can I get food on my way to the court?,all
8,court,Where can I get food on my way to the court?,all
9,court,Where can I get food on my way to the court?,all
10,court,Where can I get food on my way to the court?,all
11,court,Where can I get food on my way to the court?,all
12,court,Where can I get food on my way to the court?,all
13,court,Where can I get food on my way to the court?,all
14,court,Where can I get food on my way to the court?,all
15,court,Where can I get food on my way to the court?,all
16,court,Where can I get food on my way to the court?,all
17,court,Where can I get food on my way to the court?,all
18,court,Where can I get food on my way to the court?,all
19,court,Where can I get food on my way to the court?,all
20,psychiatrist,Where can I get food on my way to the psychiatrist?,all
21,psychiatrist,Where can I get food on my way to the psychiatrist?,all
22,psychiatrist,Where can I get food on my way to the psychiatrist?,all
23,psychiatrist,Where can I get food on my way to the psychiatrist?,all
24,psychiatrist,Where can I get food on my way to the psychiatrist?,all
25,psychiatrist,Where can I get food on my way to the psychiatrist?,all
26,psychiatrist,Where can I get food on my way to the psychiatrist?,all
27,psychiatrist,Where can I get food on my way to the psychiatrist?,all
28,psychiatrist,Where can I get food on my way to the psychiatrist?,all
29,psychiatrist,Where can I get food on my way to the psychiatrist?,all
30,psychiatrist,Where can I get food on my way to the psychiatrist?,all
31,psychiatrist,Where can I get food on my way to the psychiatrist?,all
32,psychiatrist,Where can I get food on my way to the psychiatrist?,all
33,psychiatrist,Where can I get food on my way to the psychiatrist?,all
34,psychiatrist,Where can I get food on my way to the psychiatrist?,all
35,psychiatrist,Where can I get food on my way to the psychiatrist?,all
36,psychiatrist,Where can I get food on my way to the psychiatrist?,all
37,psychiatrist,Where can I get food on my way to the psychiatrist?,all
38,psychiatrist,Where can I get food on my way to the psychiatrist?,all
39,psychiatrist,Where can I get food on my way to the psychiatrist?,all
40,museum,Where can I get food on my way to the museum?,all
41,museum,Where can I get food on my way to the museum?,all
42,museum,Where can I get food on my way to the museum?,all
43,museum,Where can I get food on my way to the museum?,all
44,museum,Where can I get food on my way to the museum?,all
45,museum,Where can I get food on my way to the museum?,all
46,museum,Where can I get food on my way to the museum?,all
47,museum,Where can I get food on my way to the museum?,all
48,museum,Where can I get food on my way to the museum?,all
49,museum,Where can I get food on my way to the museum?,all
50,museum,Where can I get food on my way to the museum?,all
51,museum,Where can I get food on my way to the museum?,all
52,museum,Where can I get food on my way to the museum?,all
53,museum,Where can I get food on my way to the museum?,all
54,museum,Where can I get food on my way to the museum?,all
55,museum,Where can I get food on my way to the museum?,all
56,museum,Where can I get food on my way to the museum?,all
57,museum,Where can I get food on my way to the museum?,all
58,museum,Where can I get food on my way to the museum?,all
