,example_label,input_sentence,label,recommended_item,categories,avg_stars,price,rank
0,court,Where can I get food on my way to the court?,all,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,1
0,court,Where can I get food on my way to the court?,all,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,1
0,court,Where can I get food on my way to the court?,all,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,2
0,court,Where can I get food on my way to the court?,all,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,3
0,court,Where can I get food on my way to the court?,all,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,4
0,court,Where can I get food on my way to the court?,all,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,5
0,court,Where can I get food on my way to the court?,all,Dua Vietnamese,"Vietnamese, Salad, Noodles, Restaurants",3.82,2.0,6
0,court,Where can I get food on my way to the court?,all,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,7
0,court,Where can I get food on my way to the court?,all,Home grown,"Vegetarian, Southern, Diners, Breakfast & Brunch, Restaurants",4.41,2.0,8
0,court,Where can I get food on my way to the court?,all,Hankook Taqueria,"Korean, Mexican, Restaurants, Asian Fusion",4.24,2.0,9
0,court,Where can I get food on my way to the court?,all,So Kong Dong Tofu House,"Korean, Asian Fusion, Restaurants, Barbeque",4.02,2.0,10
0,court,Where can I get food on my way to the court?,all,Tassili's Raw Reality,"Live/Raw Food, Restaurants, Vegan",4.35,2.0,11
0,court,Where can I get food on my way to the court?,all,Lee's Bakery,"Sandwiches, Vietnamese, Food, Restaurants, Bakeries, Soup",4.17,1.0,12
0,court,Where can I get food on my way to the court?,all,Sweet Hut Bakery & Cafe,"Restaurants, Coffee & Tea, Desserts, Sandwiches, Food, Bakeries",4.08,1.0,13
