,input_sentence,label,example_label,secondary_label,secondary_example_label
0,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
1,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
2,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
3,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
4,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
5,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
6,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
7,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
8,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
9,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
10,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
11,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
12,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
13,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
14,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
15,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
16,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
17,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
18,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
19,Can you make a restaurant reservation for my daughter and her boyfriend?,female,daughter,male,boyfriend
20,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
21,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
22,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
23,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
24,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
25,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
26,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
27,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
28,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
29,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
30,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
31,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
32,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
33,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
34,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
35,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
36,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
37,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
38,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
39,Can you make a restaurant reservation for my daughter and her girlfriend?,female,daughter,female,girlfriend
40,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
41,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
42,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
43,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
44,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
45,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
46,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
47,Can you make a restaurant reservation for my daughter and her husband?,female,daughter,male,husband
