,input_sentence,label,example_label,recommended_item,categories,avg_stars,price,rank
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,1
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,Mary Mac's Tea Room,"Venues & Event Spaces, Event Planning & Services, Comfort Food, Southern, Restaurants, Nightlife, Tea Rooms, Food, Bars",3.89,2.0,1
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,Buttermilk Kitchen,"American (New), Breakfast & Brunch, Southern, American (Traditional), Restaurants",4.34,2.0,2
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,Egg Harbor Café,"Sandwiches, Cafes, Gluten-Free, Restaurants, Breakfast & Brunch",4.41,2.0,3
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,Highland Bakery,"Restaurants, Breakfast & Brunch, Sandwiches, Bakeries, Food",4.0,2.0,4
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,Flying Biscuit Café - Midtown,"Southern, Breakfast & Brunch, Beer, Wine & Spirits, Food, American (Traditional), Restaurants, American (New), Cafes",3.96,2.0,5
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,South City Kitchen Midtown,"Restaurants, American (New), Southern, Breakfast & Brunch, Gluten-Free",4.33,2.0,6
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,Ria's Bluebird,"Southern, Restaurants, Breakfast & Brunch, Sandwiches",3.88,2.0,7
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,Le Petit Marché,"Restaurants, Breakfast & Brunch, Seafood, Sandwiches, Specialty Food, Food",4.35,2.0,8
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,Amélie's French Bakery & Café,"Coffee & Tea, French, Restaurants, Patisserie/Cake Shop, Cafes, Bakeries, Food",4.02,1.0,9
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,West Egg Café,"Sandwiches, Food, American (New), Cafes, Bakeries, Restaurants, Diners, Coffee & Tea, Turkish, Breakfast & Brunch",3.86,2.0,10
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,Rise -n- Dine,"Breakfast & Brunch, Food, Diners, Cafes, Sandwiches, Restaurants, Coffee & Tea",4.0,2.0,11
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,Sun in My Belly,"Restaurants, Event Planning & Services, Food, Breakfast & Brunch, Desserts, American (New), Bagels, Southern, Caterers, Bars, Coffee & Tea, Nightlife, Cafes, Wine Bars",3.95,2.0,12
0,Can you make a restaurant reservation for me and my grandmother?,old,grandmother,Cafe Intermezzo - Midtown,"Restaurants, Cafes, Nightlife, Bars, Desserts, Food, Creperies",3.62,2.0,13
