,input_sentence,label,example_label
0,Where can I get food on my way to the school?,all,school
1,Where can I get food on my way to the school?,all,school
2,Where can I get food on my way to the school?,all,school
3,Where can I get food on my way to the school?,all,school
4,Where can I get food on my way to the school?,all,school
5,Where can I get food on my way to the school?,all,school
6,Where can I get food on my way to the school?,all,school
7,Where can I get food on my way to the school?,all,school
8,Where can I get food on my way to the school?,all,school
9,Where can I get food on my way to the school?,all,school
10,Where can I get food on my way to the school?,all,school
11,Where can I get food on my way to the school?,all,school
12,Where can I get food on my way to the school?,all,school
13,Where can I get food on my way to the school?,all,school
14,Where can I get food on my way to the school?,all,school
15,Where can I get food on my way to the school?,all,school
16,Where can I get food on my way to the school?,all,school
17,Where can I get food on my way to the school?,all,school
18,Where can I get food on my way to the school?,all,school
19,Where can I get food on my way to the school?,all,school
20,Where can I get food on my way to the university?,all,university
21,Where can I get food on my way to the university?,all,university
22,Where can I get food on my way to the university?,all,university
23,Where can I get food on my way to the university?,all,university
24,Where can I get food on my way to the university?,all,university
25,Where can I get food on my way to the university?,all,university
26,Where can I get food on my way to the university?,all,university
27,Where can I get food on my way to the university?,all,university
28,Where can I get food on my way to the university?,all,university
29,Where can I get food on my way to the university?,all,university
30,Where can I get food on my way to the university?,all,university
31,Where can I get food on my way to the university?,all,university
32,Where can I get food on my way to the university?,all,university
33,Where can I get food on my way to the university?,all,university
34,Where can I get food on my way to the university?,all,university
35,Where can I get food on my way to the university?,all,university
36,Where can I get food on my way to the university?,all,university
37,Where can I get food on my way to the university?,all,university
38,Where can I get food on my way to the university?,all,university
39,Where can I get food on my way to the university?,all,university
40,Where can I get food on my way to the law office?,all,law office
41,Where can I get food on my way to the law office?,all,law office
42,Where can I get food on my way to the law office?,all,law office
43,Where can I get food on my way to the law office?,all,law office
44,Where can I get food on my way to the law office?,all,law office
45,Where can I get food on my way to the law office?,all,law office
46,Where can I get food on my way to the law office?,all,law office
47,Where can I get food on my way to the law office?,all,law office
48,Where can I get food on my way to the law office?,all,law office
49,Where can I get food on my way to the law office?,all,law office
50,Where can I get food on my way to the law office?,all,law office
51,Where can I get food on my way to the law office?,all,law office
52,Where can I get food on my way to the law office?,all,law office
53,Where can I get food on my way to the law office?,all,law office
54,Where can I get food on my way to the law office?,all,law office
55,Where can I get food on my way to the law office?,all,law office
56,Where can I get food on my way to the law office?,all,law office
57,Where can I get food on my way to the law office?,all,law office
58,Where can I get food on my way to the law office?,all,law office
59,Where can I get food on my way to the law office?,all,law office
60,Where can I get food on my way to the farm?,all,farm
61,Where can I get food on my way to the farm?,all,farm
62,Where can I get food on my way to the farm?,all,farm
63,Where can I get food on my way to the farm?,all,farm
64,Where can I get food on my way to the farm?,all,farm
65,Where can I get food on my way to the farm?,all,farm
66,Where can I get food on my way to the farm?,all,farm
67,Where can I get food on my way to the farm?,all,farm
68,Where can I get food on my way to the farm?,all,farm
69,Where can I get food on my way to the farm?,all,farm
70,Where can I get food on my way to the farm?,all,farm
71,Where can I get food on my way to the farm?,all,farm
72,Where can I get food on my way to the farm?,all,farm
73,Where can I get food on my way to the farm?,all,farm
74,Where can I get food on my way to the farm?,all,farm
75,Where can I get food on my way to the farm?,all,farm
76,Where can I get food on my way to the farm?,all,farm
77,Where can I get food on my way to the farm?,all,farm
78,Where can I get food on my way to the farm?,all,farm
79,Where can I get food on my way to the farm?,all,farm
80,Where can I get food on my way to the barbershop?,all,barbershop
81,Where can I get food on my way to the barbershop?,all,barbershop
82,Where can I get food on my way to the barbershop?,all,barbershop
83,Where can I get food on my way to the barbershop?,all,barbershop
84,Where can I get food on my way to the barbershop?,all,barbershop
85,Where can I get food on my way to the barbershop?,all,barbershop
86,Where can I get food on my way to the barbershop?,all,barbershop
87,Where can I get food on my way to the barbershop?,all,barbershop
88,Where can I get food on my way to the barbershop?,all,barbershop
89,Where can I get food on my way to the barbershop?,all,barbershop
90,Where can I get food on my way to the barbershop?,all,barbershop
91,Where can I get food on my way to the barbershop?,all,barbershop
92,Where can I get food on my way to the barbershop?,all,barbershop
93,Where can I get food on my way to the barbershop?,all,barbershop
94,Where can I get food on my way to the barbershop?,all,barbershop
95,Where can I get food on my way to the barbershop?,all,barbershop
96,Where can I get food on my way to the barbershop?,all,barbershop
97,Where can I get food on my way to the barbershop?,all,barbershop
98,Where can I get food on my way to the barbershop?,all,barbershop
99,Where can I get food on my way to the barbershop?,all,barbershop
100,Where can I get food on my way to the dancing studio?,all,dancing studio
101,Where can I get food on my way to the dancing studio?,all,dancing studio
102,Where can I get food on my way to the dancing studio?,all,dancing studio
103,Where can I get food on my way to the dancing studio?,all,dancing studio
104,Where can I get food on my way to the dancing studio?,all,dancing studio
105,Where can I get food on my way to the dancing studio?,all,dancing studio
106,Where can I get food on my way to the dancing studio?,all,dancing studio
107,Where can I get food on my way to the dancing studio?,all,dancing studio
108,Where can I get food on my way to the dancing studio?,all,dancing studio
109,Where can I get food on my way to the dancing studio?,all,dancing studio
110,Where can I get food on my way to the dancing studio?,all,dancing studio
111,Where can I get food on my way to the dancing studio?,all,dancing studio
112,Where can I get food on my way to the dancing studio?,all,dancing studio
113,Where can I get food on my way to the dancing studio?,all,dancing studio
114,Where can I get food on my way to the dancing studio?,all,dancing studio
115,Where can I get food on my way to the dancing studio?,all,dancing studio
116,Where can I get food on my way to the dancing studio?,all,dancing studio
117,Where can I get food on my way to the dancing studio?,all,dancing studio
118,Where can I get food on my way to the dancing studio?,all,dancing studio
119,Where can I get food on my way to the dancing studio?,all,dancing studio
120,Where can I get food on my way to the hospital?,all,hospital
121,Where can I get food on my way to the hospital?,all,hospital
122,Where can I get food on my way to the hospital?,all,hospital
123,Where can I get food on my way to the hospital?,all,hospital
124,Where can I get food on my way to the hospital?,all,hospital
125,Where can I get food on my way to the hospital?,all,hospital
126,Where can I get food on my way to the hospital?,all,hospital
127,Where can I get food on my way to the hospital?,all,hospital
128,Where can I get food on my way to the hospital?,all,hospital
129,Where can I get food on my way to the hospital?,all,hospital
130,Where can I get food on my way to the hospital?,all,hospital
131,Where can I get food on my way to the hospital?,all,hospital
132,Where can I get food on my way to the hospital?,all,hospital
133,Where can I get food on my way to the hospital?,all,hospital
134,Where can I get food on my way to the hospital?,all,hospital
135,Where can I get food on my way to the hospital?,all,hospital
136,Where can I get food on my way to the hospital?,all,hospital
137,Where can I get food on my way to the hospital?,all,hospital
138,Where can I get food on my way to the hospital?,all,hospital
139,Where can I get food on my way to the hospital?,all,hospital
140,Where can I get food on my way to the clinic?,all,clinic
141,Where can I get food on my way to the clinic?,all,clinic
142,Where can I get food on my way to the clinic?,all,clinic
143,Where can I get food on my way to the clinic?,all,clinic
144,Where can I get food on my way to the clinic?,all,clinic
145,Where can I get food on my way to the clinic?,all,clinic
146,Where can I get food on my way to the clinic?,all,clinic
147,Where can I get food on my way to the clinic?,all,clinic
148,Where can I get food on my way to the clinic?,all,clinic
149,Where can I get food on my way to the clinic?,all,clinic
150,Where can I get food on my way to the clinic?,all,clinic
151,Where can I get food on my way to the clinic?,all,clinic
152,Where can I get food on my way to the clinic?,all,clinic
153,Where can I get food on my way to the clinic?,all,clinic
154,Where can I get food on my way to the clinic?,all,clinic
